# ============================================================================
#  CATALOGO DE PERFILES DE ACERO DE CADLINK
# ============================================================================
#
#  Generado del manual IMCA con tools/catalogo_imca.py
#  1617 perfiles de 12 familias.
#  TODAS LAS MEDIDAS EN CENTIMETROS.
#
#  Este archivo llena los desplegables de la pestaña «Secciones Acero»: al
#  elegir la familia, la celda «Perfil» ofrece los perfiles de esa familia, y
#  al elegir uno se traen sus medidas solas.
#
#  Se puede editar con el Bloc de notas o con Excel, y no hay que recompilar
#  nada: se guarda, se vuelve a abrir CadLink y los cambios ya estan.
#
#  familia;nombre;peralte;ancho;e_alma;e_patin;labio;radio;ancho2
#
#     peralte   en OC y OS es el DIAMETRO EXTERIOR; en la L, el ala larga
#     ancho     patin en I/te/canales, cara en OR, ala corta en la L
#     e_alma    alma en I/te/canal; PARED en OR y OC; lamina en CF y ZF
#     e_patin   solo las formas laminadas: I, te y canal
#     labio     solo el CF
#     radio     doblez exterior: el CF y la ZF
#     ancho2    solo la ZF: su patin ANGOSTO, el que permite el traslape
#
#  El redondo macizo (OS) solo usa el peralte: no tiene pared ni ancho.
#
#
# --------------------------------------------------------------------------
#  IR: 273 perfiles, forma I   (del IMCA: W)
# --------------------------------------------------------------------------
IR;W - 18'' x 71.03 lb/ft;47;19.5;1.26;2.06;;;
IR;W - 18'' x 76.07 lb/ft;46.3;28;1.08;1.73;;;
IR;W - 18'' x 86.08 lb/ft;46.8;28.2;1.22;1.96;;;
IR;W - 18'' x 97.03 lb/ft;47.3;28.2;1.36;2.21;;;
IR;W - 18'' x 106.04 lb/ft;47.5;28.5;1.5;2.39;;;
IR;W - 18'' x 119.07 lb/ft;48.3;28.8;1.67;2.7;;;
IR;W - 18'' x 130.09 lb/ft;49.1;28.5;1.71;3.05;;;
IR;W - 18'' x 143.06 lb/ft;49.6;28.5;1.86;3.36;;;
IR;W - 18'' x 158.05 lb/ft;50.1;28.8;2.06;3.66;;;
IR;W - 18'' x 175.05 lb/ft;50.8;29;2.27;4.04;;;
IR;W - 18'' x 259.25 lb/ft;51.9;29.3;2.44;4.45;;;
IR;W - 18'' x 211.07 lb/ft;52.6;29.5;2.7;4.86;;;
IR;W - 18'' x 234.11 lb/ft;53.6;29.8;2.95;5.36;;;
IR;W - 18'' x 258.1 lb/ft;54.7;30;3.26;5.85;;;
IR;W - 18'' x 283.1 lb/ft;55.7;30.3;3.56;6.35;;;
IR;W - 18'' x 311.12 lb/ft;56.7;30.5;3.87;6.96;;;
IR;W - 21'' x 44.01 lb/ft;52.6;16.6;0.89;1.15;;;
IR;W - 21'' x 50.06 lb/ft;52.9;16.6;0.97;1.36;;;
IR;W - 21'' x 57.05 lb/ft;53.6;16.7;1.03;1.66;;;
IR;W - 21'' x 48.05 lb/ft;52.4;20.7;0.89;1.1;;;
IR;W - 21'' x 55.03 lb/ft;52.9;20.9;0.96;1.33;;;
IR;W - 21'' x 62.02 lb/ft;53.4;21;1.02;1.57;;;
IR;W - 21'' x 68.07 lb/ft;53.6;21.1;1.1;1.74;;;
IR;W - 21'' x 73.04 lb/ft;53.9;21.1;1.16;1.88;;;
IR;W - 21'' x 83.06 lb/ft;54.4;21.3;1.31;2.13;;;
IR;W - 21'' x 93.07 lb/ft;54.9;21.4;1.48;2.37;;;
IR;W - 21'' x 101.06 lb/ft;54.4;31.3;1.27;2.04;;;
IR;W - 21'' x 111.08 lb/ft;54.7;31.3;1.4;2.23;;;
IR;W - 21'' x 122.03 lb/ft;55.2;31.5;1.53;2.44;;;
IR;W - 21'' x 132.04 lb/ft;55.4;31.5;1.66;2.65;;;
IR;W - 21'' x 147.09 lb/ft;56.2;31.8;1.83;2.93;;;
IR;W - 21'' x 166.04 lb/ft;57.2;31.5;1.91;3.46;;;
IR;W - 21'' x 182.1 lb/ft;57.7;31.8;2.11;3.76;;;
IR;W - 21'' x 201.05 lb/ft;58.5;32.1;2.32;4.15;;;
IR;W - 24'' x 55.03 lb/ft;60;17.9;1.01;1.29;;;
IR;W - 24'' x 62.02 lb/ft;60.2;17.9;1.1;1.5;;;
IR;W - 24'' x 68.07 lb/ft;60.2;22.8;1.06;1.49;;;
IR;W - 24'' x 76.07 lb/ft;60.8;22.9;1.12;1.73;;;
IR;W - 24'' x 84.06 lb/ft;61.3;23;1.2;1.96;;;
IR;W - 24'' x 94.08 lb/ft;61.8;23.1;1.31;2.23;;;
IR;W - 24'' x 103.08 lb/ft;62.3;22.9;1.4;2.49;;;
IR;W - 24'' x 104.09 lb/ft;61.3;32.6;1.27;1.91;;;
IR;W - 24'' x 117.06 lb/ft;61.8;32.6;1.4;2.16;;;
IR;W - 24'' x 131.03 lb/ft;62.3;32.8;1.54;2.44;;;
IR;W - 24'' x 146.09 lb/ft;62.8;32.8;1.66;2.77;;;
IR;W - 24'' x 162.08 lb/ft;63.5;33.1;1.8;3.1;;;
IR;W - 24'' x 176.06 lb/ft;64.1;32.8;1.91;3.41;;;
IR;W - 24'' x 192.05 lb/ft;64.8;33.1;2.06;3.71;;;
IR;W - 24'' x 207.1 lb/ft;65.3;33.1;2.21;3.99;;;
IR;W - 24'' x 229.07 lb/ft;66.1;33.3;2.44;4.4;;;
IR;W - 24'' x 250.11 lb/ft;66.9;33.6;2.65;4.81;;;
IR;W - 24'' x 279.07 lb/ft;67.8;33.8;2.95;5.31;;;
IR;W - 24'' x 306.08 lb/ft;68.9;34.1;3.21;5.8;;;
IR;W - 24'' x 335.11 lb/ft;69.9;34.3;3.51;6.3;;;
IR;W - 24'' x 370.12 lb/ft;71.2;34.8;3.87;6.91;;;
IR;W - 27'' x 84.06 lb/ft;67.9;25.4;1.17;1.63;;;
IR;W - 27'' x 94.08 lb/ft;68.4;25.4;1.25;1.9;;;
IR;W - 27'' x 102.07 lb/ft;68.9;25.4;1.31;2.11;;;
IR;W - 27'' x 114.03 lb/ft;69.4;25.7;1.45;2.37;;;
IR;W - 27'' x 129.09 lb/ft;70.2;25.4;1.55;2.8;;;
IR;W - 27'' x 146.09 lb/ft;69.6;35.6;1.54;2.48;;;
IR;W - 27'' x 161.07 lb/ft;70.2;35.6;1.68;2.75;;;
IR;W - 27'' x 178.07 lb/ft;70.7;35.9;1.85;3.03;;;
IR;W - 27'' x 194.06 lb/ft;71.4;35.6;1.91;3.41;;;
IR;W - 27'' x 217.11 lb/ft;72.2;35.9;2.11;3.81;;;
IR;W - 27'' x 235.05 lb/ft;72.9;36.1;2.32;4.09;;;
IR;W - 27'' x 258.1 lb/ft;73.7;36.4;2.49;4.5;;;
IR;W - 27'' x 281.08 lb/ft;74.5;36.6;2.7;4.91;;;
IR;W - 27'' x 307.09 lb/ft;75.2;36.6;2.95;5.31;;;
IR;W - 27'' x 336.12 lb/ft;76.2;37.1;3.21;5.8;;;
IR;W - 27'' x 368.1 lb/ft;77.3;37.4;3.51;6.3;;;
IR;W - 27'' x 539.19 lb/ft;82.6;38.9;5.01;9;;;
IR;W - 30'' x 90.04 lb/ft;75;26.5;1.2;1.55;;;
IR;W - 30'' x 99.05 lb/ft;75.5;26.7;1.33;1.71;;;
IR;W - 30'' x 108.05 lb/ft;75.7;26.7;1.39;1.94;;;
IR;W - 30'' x 116.05 lb/ft;76.2;26.7;1.44;2.16;;;
IR;W - 30'' x 124.05 lb/ft;76.8;26.7;1.49;2.37;;;
IR;W - 30'' x 132.04 lb/ft;77;26.7;1.57;2.54;;;
IR;W - 30'' x 148.03 lb/ft;78;26.7;1.66;3;;;
IR;W - 30'' x 173.1 lb/ft;77.3;38.1;1.67;2.72;;;
IR;W - 30'' x 191.11 lb/ft;78;38.1;1.81;3.03;;;
IR;W - 30'' x 211.07 lb/ft;78.5;38.4;1.97;3.36;;;
IR;W - 30'' x 235.05 lb/ft;79.6;38.4;2.11;3.81;;;
IR;W - 30'' x 261.06 lb/ft;80.3;38.7;2.37;4.2;;;
IR;W - 30'' x 292.1 lb/ft;81.3;38.9;2.6;4.7;;;
IR;W - 30'' x 326.11 lb/ft;82.3;39.2;2.9;5.212;;;
IR;W - 30'' x 357.08 lb/ft;83.4;39.4;3.15;5.69;;;
IR;W - 30'' x 391.15 lb/ft;84.4;39.7;3.46;6.2;;;
IR;W - 33'' x 118.06 lb/ft;83.6;29.3;1.4;1.88;;;
IR;W - 33'' x 130.09 lb/ft;84.1;29.3;1.48;2.18;;;
IR;W - 33'' x 141.05 lb/ft;84.6;29.3;1.54;2.44;;;
IR;W - 33'' x 152.07 lb/ft;85.1;29.5;1.62;2.7;;;
IR;W - 33'' x 169.07 lb/ft;85.9;29.3;1.71;3.1;;;
IR;W - 33'' x 201.05 lb/ft;85.6;39.9;1.82;2.93;;;
IR;W - 33'' x 221.08 lb/ft;86.2;40.2;1.97;3.26;;;
IR;W - 33'' x 241.1 lb/ft;86.9;40.4;2.11;3.56;;;
IR;W - 33'' x 263.08 lb/ft;87.7;40.2;2.21;3.99;;;
IR;W - 33'' x 291.1 lb/ft;88.4;40.4;2.44;4.4;;;
IR;W - 33'' x 318.11 lb/ft;89.5;40.7;2.65;4.81;;;
IR;W - 33'' x 354.13 lb/ft;90.5;40.9;2.95;5.31;;;
IR;W - 33'' x 387.12 lb/ft;91.5;41.2;3.21;5.8;;;
IR;W - 36'' x 135.07 lb/ft;90.5;30.5;1.53;2.01;;;
IR;W - 36'' x 150.05 lb/ft;91.2;30.5;1.59;2.39;;;
IR;W - 36'' x 160.06 lb/ft;91.5;30.5;1.66;2.6;;;
IR;W - 36'' x 170.08 lb/ft;92;30.5;1.73;2.8;;;
IR;W - 36'' x 182.1 lb/ft;92.3;30.8;1.85;3;;;
IR;W - 36'' x 194.06 lb/ft;92.8;30.8;1.95;3.21;;;
IR;W - 36'' x 210.06 lb/ft;93.3;31;2.11;3.46;;;
IR;W - 36'' x 232.1 lb/ft;94.3;30.8;2.21;3.99;;;
IR;W - 36'' x 256.09 lb/ft;95;31;2.44;4.4;;;
IR;W - 36'' x 230.08 lb/ft;92.8;42;1.94;3.21;;;
IR;W - 36'' x 247.08 lb/ft;93.3;42;2.04;3.43;;;
IR;W - 36'' x 262.07 lb/ft;93.8;42.2;2.14;3.66;;;
IR;W - 36'' x 282.09 lb/ft;94.3;42.2;2.25;3.99;;;
IR;W - 36'' x 302.12 lb/ft;94.8;42.5;2.41;4.27;;;
IR;W - 36'' x 330.14 lb/ft;95.8;42.2;2.6;4.7;;;
IR;W - 36'' x 361.12 lb/ft;96.6;42.5;2.85;5.11;;;
IR;W - 36'' x 395.12 lb/ft;97.6;42.7;3.1;5.59;;;
IR;W - 36'' x 487.11 lb/ft;99.9;43.5;3.81;6.81;;;
IR;W - 36'' x 529.17 lb/ft;101.1;43.7;4.09;7.4;;;
IR;W - 36'' x 652.21 lb/ft;104.4;44.8;5.01;9;;;
IR;W - 36'' x 800.18 lb/ft;108.3;45.8;6.05;10.9;;;
IR;W - 40'' x 149.04 lb/ft;97.1;30;1.61;2.11;;;
IR;W - 40'' x 167.05 lb/ft;98.1;30;1.66;2.62;;;
IR;W - 40'' x 183.04 lb/ft;99.1;30;1.66;3.05;;;
IR;W - 40'' x 211.07 lb/ft;100.1;30;1.91;3.61;;;
IR;W - 40'' x 235.05 lb/ft;100.9;30.3;2.11;4.02;;;
IR;W - 40'' x 264.08 lb/ft;101.6;30.3;2.44;4.4;;;
IR;W - 40'' x 278.13 lb/ft;102.2;30.5;2.62;4.6;;;
IR;W - 40'' x 294.12 lb/ft;102.7;30.5;2.7;4.91;;;
IR;W - 40'' x 327.11 lb/ft;103.7;30.8;3;5.42;;;
IR;W - 40'' x 331.08 lb/ft;103.7;31;3.1;5.42;;;
IR;W - 40'' x 392.09 lb/ft;105.7;31.5;3.61;6.41;;;
IR;W - 40'' x 199.1 lb/ft;98.3;40.2;1.66;2.72;;;
IR;W - 40'' x 215.1 lb/ft;99.1;40.2;1.66;3.1;;;
IR;W - 40'' x 249.1 lb/ft;100.1;40.2;1.91;3.61;;;
IR;W - 40'' x 277.12 lb/ft;100.9;40.2;2.11;4.02;;;
IR;W - 40'' x 297.08 lb/ft;101.1;40.2;2.37;4.2;;;
IR;W - 40'' x 324.09 lb/ft;102.2;40.4;2.54;4.6;;;
IR;W - 40'' x 362.12 lb/ft;103.2;40.7;2.85;5.11;;;
IR;W - 40'' x 372.14 lb/ft;103.2;40.9;2.95;5.2;;;
IR;W - 40'' x 397.13 lb/ft;104.2;40.9;3.1;5.59;;;
IR;W - 40'' x 431.13 lb/ft;105;41.2;3.41;6;;;
IR;W - 40'' x 503.17 lb/ft;107;41.7;3.92;7.02;;;
IR;W - 40'' x 593.15 lb/ft;109.3;42.5;4.55;8.21;;;
IR;W - 44'' x 230.08 lb/ft;109;40.2;1.81;3.1;;;
IR;W - 44'' x 262.07 lb/ft;110;40.2;2;3.61;;;
IR;W - 44'' x 290.09 lb/ft;110.8;40.2;2.2;4.02;;;
IR;W - 44'' x 335.11 lb/ft;111.8;40.4;2.62;4.5;;;
#
# --------------------------------------------------------------------------
#  IS: 135 perfiles, forma I   (del IMCA: IS)
# --------------------------------------------------------------------------
IS;IS - 150 mm x 9.5 mm / 450 mm x 6.4 mm;46.9;15;0.64;0.95;;;
IS;IS - 150 mm x 12.7 mm / 450 mm x 6.4 mm;47.5;15;0.64;1.27;;;
IS;IS - 150 mm x 15.9 mm / 450 mm x 6.4 mm;48.2;15;0.64;1.59;;;
IS;IS - 225 mm x 9.5 mm / 450 mm x 6.4 mm;46.9;22.5;0.64;0.95;;;
IS;IS - 225 mm x 12.7 mm / 450 mm x 6.4 mm;47.5;22.5;0.64;1.27;;;
IS;IS - 225 mm x 15.9 mm / 450 mm x 6.4 mm;48.2;22.5;0.64;1.59;;;
IS;IS - 150 mm x 9.5 mm / 450 mm x 7.9 mm;46.9;15;0.79;0.95;;;
IS;IS - 150 mm x 12.7 mm / 450 mm x 7.9 mm;47.5;15;0.79;1.27;;;
IS;IS - 150 mm x 15.9 mm / 450 mm x 7.9 mm;48.2;15;0.79;1.59;;;
IS;IS - 225 mm x 9.5 mm / 450 mm x 7.9 mm;46.9;22.5;0.79;0.95;;;
IS;IS - 225 mm x 12.7 mm / 450 mm x 7.9 mm;47.5;22.5;0.79;1.27;;;
IS;IS - 225 mm x 15.9 mm / 450 mm x 7.9 mm;48.2;22.5;0.79;1.59;;;
